ra,dec,d,start_times,end_times
99.91728,-14.46833,1144.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
104.76444,8.84164,358.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.72353,12.84589,352.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.76816,11.42002,333.7,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
3.22755,56.47237,430.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
349.07548,62.79127,377.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.86217,13.24692,332.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.22582,9.19216,336.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
104.12025,15.06742,332.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
93.90208,-11.72618,923.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
100.03731,-15.39871,1191.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
323.16678,77.50406,257.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
306.5531,39.66103,1032.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.98484,19.81916,396.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
308.31603,40.16246,957.7,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
99.60282,5.67314,300.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.3583,38.47394,1023.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
317.20524,47.46192,744.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
335.68375,61.05463,452.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.28691,7.26613,437.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
206.52103,81.56865,179.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
98.71127,-14.81083,1124.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
93.22074,-11.72016,985.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.70396,37.65791,995.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
110.964,13.01692,337.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
338.02804,53.84712,453.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
100.04131,2.86113,240.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.2658,31.87541,1062.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
356.1542,53.16525,419.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
359.96637,53.90578,398.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.44773,41.63527,993.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.28345,38.39293,979.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.0674,39.87004,957.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
92.09988,-9.87936,921.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.19655,0.65798,404.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
320.44796,47.43263,619.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.40261,12.57774,374.7,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.70171,4.28385,361.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.72885,7.32083,306.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
93.20266,-5.97494,836.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
315.91277,46.64059,770.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
306.3461,38.91655,949.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
311.96767,45.42397,792.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
317.42981,47.18474,733.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
320.80538,76.05662,371.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.57183,22.47833,387.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
98.72614,17.81826,376.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
104.14617,18.92163,406.7,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
105.27995,18.99436,399.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.67822,10.53147,352.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.13425,9.5932,392.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
104.58412,9.42016,409.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
101.96135,-1.09824,419.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
93.24465,-6.28278,851.7,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
94.09706,-6.18952,836.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
91.38686,-9.57229,838.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
94.96354,-11.12034,676.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
95.41214,-11.34314,658.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
101.05959,-15.14088,1180.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
101.14573,-15.54044,1194.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
349.31007,54.37811,478.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.54899,7.23045,385.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
334.6633,73.13449,343.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
334.04616,46.89914,451.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
104.85614,9.55438,344.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.1894,8.33754,389.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.37841,5.57693,369.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
306.70394,39.82393,1024.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
308.91867,45.44233,874.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
310.01273,46.11721,817.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
320.34351,47.50345,623.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
321.72533,48.27163,561.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
320.09684,55.70299,748.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
319.15627,60.21066,452.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
335.68375,61.05463,453.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
342.45838,66.68501,393.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
334.23168,72.80405,342.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
0.77065,55.11961,422.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
98.72484,25.82809,306.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
106.05989,12.35248,402.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
104.53916,7.72663,370.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.50255,7.54263,348.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.92953,0.5212,407.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
113.15289,5.15626,292.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
93.89574,-10.32414,1021.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
99.52582,-8.47681,841.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
97.56702,-12.72539,673.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
94.05006,-11.33326,982.7,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
99.73129,-14.55537,1175.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
